Full_Name,Age,Marital_Status,Employment_Status,Income_AMD,Education_Level,Loan_Amount_AMD,Loan_Purpose,Collateral,FICO_Score,Debt_to_Income_Ratio,Num_Open_Credit_Lines,Previous_Defaults,Loan_Term,Interest_Rate,Employment_Duration_Years,Alternative_Income_AMD,Creditworthiness
Nune Vardanyan,50,Divorced,Self-Employed,950000,High School,350000,Loan granted to individuals,No,461,0.27,3,2,36,9.99,30,1400000,Very Low
Karen Karapetyan,18,Divorced,Employed,1150000,PhD,4100000,Mortgage loan,Yes,515,0.22,1,3,48,10.6,0,3050000,Low
Lusine Karapetyan,36,Married,Employed,2330000,Bachelor's,800000,Leasing finance,Yes,719,0.18,4,3,36,18.32,14,4850000,Medium
Meline Ghazaryan,48,Divorced,Unemployed,0,Bachelor's,2450000,Leasing finance,Yes,647,0.22,1,1,36,11.23,27,2950000,Low
Hasmik Vardanyan,33,Married,Employed,1730000,Master's,1600000,Leasing finance,Yes,639,0.21,1,1,60,16.99,2,3600000,Low
Hakob Hakobyan,31,Divorced,Self-Employed,230000,Master's,4450000,Leasing finance,Yes,651,0.58,4,4,48,11.48,0,2200000,Low
Nune Poghosyan,65,Divorced,Employed,1290000,Master's,2200000,Mortgage loan,Yes,674,0.42,4,2,60,9.97,46,300000,Medium
Gor Petrosyan,22,Married,Employed,2370000,Bachelor's,4800000,Leasing finance,Yes,836,0.18,1,2,36,18.9,3,3950000,Very High
Tigran Mkrtchyan,58,Widowed,Employed,2830000,Master's,950000,Agricultural loan,No,602,0.34,2,0,60,18.92,8,150000,Low
Meline Hakobyan,43,Married,Employed,2230000,Bachelor's,150000,Commercial and industrial loan,Yes,541,0.19,3,1,48,15.66,22,3500000,Very Low
Ara Markosyan,45,Widowed,Employed,1370000,High School,3000000,Loan granted to financial institutions,Yes,677,0.4,2,3,12,14.08,12,100000,Medium
Vahagn Nazaryan,19,Single,Unemployed,0,Bachelor's,1750000,Leasing finance,Yes,688,0.27,4,0,48,15.08,0,4300000,Very Low
David Poghosyan,67,Married,Self-Employed,270000,Bachelor's,1450000,Consumer loan,Yes,586,0.2,3,3,12,13.49,11,750000,Low
Narek Markosyan,23,Married,Self-Employed,430000,Bachelor's,3750000,Loan granted to financial institutions,Yes,458,0.22,1,0,60,17.33,0,2550000,Very Low
Nune Petrosyan,26,Widowed,Self-Employed,2630000,Master's,3500000,Loan granted to financial institutions,Yes,653,0.44,3,1,36,17.3,0,2950000,Low
Narek Avagyan,50,Married,Employed,530000,Bachelor's,4150000,Loan granted to financial institutions,Yes,754,0.3,1,2,36,18.01,21,2250000,High
Mariam Mkrtchyan,58,Married,Self-Employed,1850000,Master's,2250000,Loan granted to individuals,Yes,540,0.36,1,2,48,14.75,9,1700000,Very Low
Anahit Karapetyan,42,Single,Employed,2370000,High School,1350000,Agricultural loan,No,511,0.51,4,1,48,17.81,13,2300000,Low
Ruzanna Avagyan,65,Divorced,Employed,1210000,High School,3450000,Leasing finance,Yes,662,0.43,2,3,48,10.71,24,1550000,Low
Levon Harutyunyan,30,Divorced,Employed,1550000,Master's,4500000,Loan granted to individuals,Yes,432,0.33,4,4,60,9.33,10,2150000,Low
Gevorg Sargsyan,26,Married,Self-Employed,2030000,PhD,1750000,Loan granted to individuals,Yes,808,0.58,4,4,36,16.13,2,1750000,Low
Ani Markosyan,30,Single,Self-Employed,1130000,PhD,950000,Leasing finance,No,576,0.21,3,1,36,10.16,10,2800000,Very Low
Tigran Petrosyan,48,Married,Self-Employed,190000,PhD,850000,Agricultural loan,Yes,564,0.24,2,0,24,15.06,18,1150000,Very Low
Karen Petrosyan,58,Married,Self-Employed,2490000,Master's,1750000,Agricultural loan,Yes,659,0.56,2,2,36,16.93,27,4900000,Low
Ruben Mkrtchyan,28,Single,Self-Employed,2270000,Master's,3850000,Leasing finance,No,435,0.53,2,3,24,13.48,10,2500000,Low
Vahan Mkrtchyan,21,Divorced,Self-Employed,1050000,Master's,3900000,Leasing finance,Yes,727,0.17,2,4,48,9.48,3,950000,Medium
Artur Sargsyan,51,Married,Employed,1750000,Master's,1500000,Loan granted to financial institutions,No,328,0.56,3,2,36,18.76,10,2350000,Low
Trdat Melkonyan,55,Single,Employed,2430000,High School,2400000,Mortgage loan,No,629,0.11,3,1,60,9.48,21,4300000,Low
Hovhannes Hovhannisyan,63,Single,Employed,870000,Master's,2850000,Mortgage loan,No,333,0.51,4,2,36,18.95,24,100000,Low
Ashot Hovhannisyan,21,Widowed,Employed,2630000,Bachelor's,850000,Agricultural loan,Yes,803,0.24,4,4,24,9.58,1,3350000,Low
Vahan Avagyan,55,Widowed,Employed,1330000,Bachelor's,750000,Agricultural loan,Yes,403,0.19,2,3,36,17.09,18,2700000,Low
Areg Hakobyan,36,Widowed,Employed,2070000,Master's,4100000,Commercial and industrial loan,Yes,793,0.32,4,0,24,19.17,6,800000,High
Lusine Mkrtchyan,23,Married,Employed,990000,High School,700000,Leasing finance,Yes,670,0.55,3,0,24,18.98,0,4050000,Low
Vahan Harutyunyan,51,Married,Self-Employed,2890000,Bachelor's,700000,Mortgage loan,Yes,687,0.49,4,2,48,18.83,5,1800000,Medium
Hovhannes Vardanyan,35,Single,Self-Employed,1550000,High School,2250000,Commercial and industrial loan,Yes,536,0.58,1,0,36,18.71,8,1450000,Low
Edgar Hakobyan,30,Single,Employed,2050000,PhD,4850000,Agricultural loan,Yes,389,0.37,4,4,24,14.61,5,4100000,Low
Gor Poghosyan,58,Divorced,Employed,170000,High School,1900000,Loan granted to individuals,Yes,632,0.36,3,3,12,15.13,17,3150000,Low
Vardan Poghosyan,40,Widowed,Employed,1570000,Bachelor's,3150000,Commercial and industrial loan,Yes,676,0.11,2,0,36,15.82,5,4450000,Medium
Vahan Hakobyan,36,Widowed,Employed,1470000,PhD,3750000,Consumer loan,No,539,0.19,1,0,48,18.86,13,3100000,Very Low
Vahan Vardanyan,62,Widowed,Self-Employed,2470000,Bachelor's,550000,Mortgage loan,No,481,0.35,1,1,36,18.22,21,3700000,Very Low
Areg Hakobyan,28,Single,Employed,210000,High School,2400000,Loan granted to financial institutions,Yes,556,0.48,1,0,24,17.61,8,4150000,Very Low
Trdat Markosyan,18,Divorced,Employed,1870000,Bachelor's,1300000,Commercial and industrial loan,Yes,488,0.51,4,0,36,16.43,0,250000,Low
David Vardanyan,41,Single,Self-Employed,2850000,High School,3350000,Agricultural loan,No,714,0.24,4,4,60,15.8,21,3850000,Medium
Aram Hakobyan,24,Married,Self-Employed,330000,Bachelor's,1250000,Mortgage loan,Yes,554,0.46,1,0,36,19.15,4,3050000,Very Low
Aram Vardanyan,42,Divorced,Employed,2390000,High School,4050000,Loan granted to financial institutions,Yes,344,0.51,1,1,24,11.12,20,300000,Low
Ruzanna Harutyunyan,38,Married,Self-Employed,2170000,Bachelor's,3050000,Loan granted to individuals,Yes,500,0.29,2,1,36,11.12,2,2500000,Very Low
Anahit Vardanyan,32,Single,Employed,230000,Master's,4300000,Agricultural loan,Yes,658,0.45,2,1,60,19.81,14,400000,Low
Hakob Mkrtchyan,18,Single,Employed,1610000,Master's,4650000,Consumer loan,Yes,642,0.32,1,0,12,15.08,0,3650000,Low
Gor Hakobyan,29,Divorced,Employed,1930000,Master's,1300000,Agricultural loan,No,511,0.59,2,2,36,14.32,4,2700000,Low
Arman Karapetyan,24,Widowed,Employed,2390000,Bachelor's,1700000,Mortgage loan,Yes,597,0.1,3,2,60,18.36,4,4750000,Low
Elina Poghosyan,32,Single,Employed,1730000,Bachelor's,4500000,Commercial and industrial loan,No,454,0.31,4,4,24,18.35,13,900000,Low
Gayane Avagyan,38,Widowed,Employed,2550000,Master's,450000,Mortgage loan,Yes,496,0.23,2,2,60,10.94,2,3000000,Very Low
Hovhannes Mkrtchyan,36,Single,Unemployed,0,High School,2000000,Loan granted to individuals,No,781,0.52,3,4,36,10.91,7,1050000,Low
Lusine Karapetyan,46,Single,Self-Employed,1350000,PhD,3750000,Loan granted to individuals,Yes,678,0.24,4,4,36,17.75,11,3050000,Medium
Karine Hovhannisyan,42,Divorced,Employed,690000,Bachelor's,350000,Loan granted to individuals,Yes,666,0.37,2,1,60,17.64,22,3600000,Low
Meline Vardanyan,50,Divorced,Employed,1170000,Master's,1500000,Leasing finance,Yes,836,0.47,4,3,24,11.48,17,3600000,Low
Vahagn Gevorgyan,66,Widowed,Self-Employed,1290000,Bachelor's,3300000,Mortgage loan,No,370,0.35,3,4,48,18.26,22,4050000,Low
Mariam Melkonyan,49,Married,Employed,1710000,Bachelor's,1500000,Consumer loan,No,327,0.31,3,0,60,14.28,0,4250000,Very Low
Sargis Avagyan,66,Divorced,Self-Employed,150000,Master's,3400000,Leasing finance,Yes,692,0.12,4,1,36,14.17,43,350000,Medium
Hasmik Melkonyan,52,Divorced,Unemployed,0,Master's,2900000,Agricultural loan,Yes,822,0.11,1,0,12,19.84,19,1700000,Very Low
Mari Hakobyan,61,Widowed,Employed,2070000,Bachelor's,2750000,Mortgage loan,No,648,0.58,2,0,36,14.71,15,3400000,Low
Arman Avagyan,55,Married,Employed,1590000,PhD,700000,Mortgage loan,No,417,0.42,1,2,24,10.51,8,2450000,Very Low
Gevorg Hakobyan,43,Widowed,Employed,2290000,High School,3850000,Agricultural loan,Yes,679,0.51,3,0,36,12.08,24,950000,Low
Aram Gevorgyan,28,Divorced,Employed,210000,High School,4450000,Loan granted to individuals,Yes,507,0.34,4,4,48,12.67,5,2750000,Low
Suren Gevorgyan,52,Single,Employed,2150000,Master's,3850000,Loan granted to financial institutions,Yes,722,0.23,2,0,36,19.54,24,2000000,Medium
Mari Sargsyan,25,Single,Unemployed,0,Master's,3850000,Consumer loan,Yes,392,0.25,2,0,48,11.9,5,1950000,Very Low
Ani Avagyan,63,Single,Retired,58500,PhD,1850000,Loan granted to financial institutions,Yes,440,0.12,1,2,24,13.73,6,4000000,Very Low
Lilit Gevorgyan,31,Divorced,Employed,1530000,Bachelor's,2200000,Mortgage loan,Yes,654,0.5,2,0,12,17.25,13,2000000,Low
Arpi Sargsyan,27,Widowed,Employed,250000,High School,300000,Loan granted to financial institutions,Yes,822,0.39,2,4,60,12.02,5,100000,Low
Gevorg Nazaryan,19,Divorced,Employed,1790000,Master's,1300000,Mortgage loan,Yes,368,0.34,2,4,12,16.72,0,250000,Low
Tigran Karapetyan,63,Divorced,Retired,47000,Bachelor's,700000,Leasing finance,No,423,0.53,3,0,24,11.28,30,4250000,Low
David Hakobyan,26,Divorced,Employed,2010000,Bachelor's,400000,Commercial and industrial loan,No,718,0.32,1,4,60,11.67,0,4800000,Medium
Edgar Markosyan,20,Married,Employed,2530000,Bachelor's,1200000,Mortgage loan,Yes,822,0.57,3,4,36,19.85,0,3400000,Low
Suren Hakobyan,38,Married,Self-Employed,2710000,High School,4300000,Consumer loan,Yes,640,0.11,4,2,48,13.06,0,1800000,Low
Hakob Hovhannisyan,43,Single,Employed,2590000,Bachelor's,1950000,Leasing finance,Yes,604,0.59,4,1,24,17.03,4,4650000,Low
Sargis Markosyan,25,Single,Self-Employed,1270000,Bachelor's,2450000,Leasing finance,No,456,0.51,1,1,24,18.24,7,3300000,Low
Anahit Nazaryan,65,Married,Employed,630000,Master's,4250000,Consumer loan,Yes,387,0.28,4,3,36,12.82,4,4200000,Low
Hasmik Melkonyan,19,Divorced,Employed,450000,Master's,3150000,Commercial and industrial loan,Yes,527,0.4,3,1,48,12.93,0,3800000,Very Low
Armine Hovhannisyan,23,Single,Employed,230000,Bachelor's,1300000,Loan granted to individuals,Yes,664,0.53,3,0,60,17.5,2,1850000,Low
David Hovhannisyan,45,Single,Self-Employed,2370000,Bachelor's,500000,Agricultural loan,Yes,565,0.34,3,4,36,15.68,21,2350000,Low
Levon Gevorgyan,46,Single,Employed,410000,Bachelor's,3850000,Mortgage loan,Yes,383,0.13,3,1,12,12.98,22,900000,Very Low
Ashot Gevorgyan,43,Married,Employed,1730000,Bachelor's,2900000,Loan granted to individuals,Yes,511,0.55,1,2,36,17.25,9,1450000,Low
Hasmik Petrosyan,42,Widowed,Employed,2670000,Master's,700000,Consumer loan,Yes,517,0.36,2,3,24,18.5,23,3850000,Low
Vahagn Sargsyan,29,Widowed,Employed,1530000,PhD,3650000,Commercial and industrial loan,Yes,450,0.37,4,0,24,11.59,2,4450000,Very Low
Aram Ghazaryan,22,Divorced,Employed,470000,Master's,3550000,Consumer loan,Yes,439,0.11,1,1,36,9.27,4,3600000,Very Low
Armine Nazaryan,51,Married,Unemployed,0,Master's,1950000,Agricultural loan,Yes,354,0.15,2,4,36,12.02,10,2300000,Low
Narine Gevorgyan,65,Widowed,Employed,150000,Bachelor's,1550000,Commercial and industrial loan,Yes,440,0.49,1,2,24,16.42,0,400000,Very Low
Areg Sargsyan,54,Widowed,Unemployed,0,Bachelor's,2500000,Commercial and industrial loan,Yes,373,0.32,4,1,60,19.07,25,250000,Very Low
Vahan Avagyan,32,Widowed,Employed,1630000,PhD,800000,Commercial and industrial loan,Yes,434,0.6,1,4,36,18.49,7,1850000,Low
Narek Vardanyan,61,Married,Self-Employed,350000,PhD,3600000,Commercial and industrial loan,Yes,325,0.45,4,1,24,11.44,19,2300000,Very Low
Arpi Gevorgyan,53,Divorced,Self-Employed,1970000,Bachelor's,2550000,Mortgage loan,No,787,0.57,1,0,24,18.69,1,3000000,Low
Arman Petrosyan,32,Widowed,Employed,370000,Bachelor's,750000,Mortgage loan,Yes,734,0.24,1,3,60,17.92,0,0,Medium
Hovhannes Nazaryan,60,Divorced,Unemployed,0,Master's,4450000,Consumer loan,Yes,361,0.19,3,4,60,17.08,16,4900000,Low
Nune Markosyan,65,Divorced,Self-Employed,1730000,High School,1900000,Loan granted to financial institutions,No,499,0.29,1,3,48,16.57,5,1800000,Low
Tatev Harutyunyan,40,Single,Employed,2330000,Master's,3950000,Loan granted to individuals,Yes,789,0.23,1,3,36,17.88,11,4200000,Low
Arman Vardanyan,23,Divorced,Employed,2190000,Master's,4450000,Loan granted to individuals,No,792,0.41,2,2,48,18.48,2,2650000,High
Gevorg Karapetyan,63,Married,Self-Employed,2850000,High School,3550000,Agricultural loan,Yes,767,0.47,3,4,60,18.01,21,650000,Low
Tatev Poghosyan,67,Divorced,Employed,970000,PhD,4500000,Leasing finance,Yes,415,0.3,4,2,24,10.34,37,3950000,Very Low
Arsen Poghosyan,61,Married,Employed,2970000,PhD,3600000,Leasing finance,Yes,670,0.14,3,3,60,16.94,20,3500000,Medium
Sargis Mkrtchyan,60,Single,Self-Employed,2870000,PhD,4100000,Consumer loan,No,531,0.11,1,0,60,18.25,34,2600000,Very Low
Armine Mkrtchyan,62,Single,Employed,1790000,Bachelor's,1050000,Agricultural loan,Yes,747,0.21,4,0,36,11.04,43,2550000,High
Mariam Melkonyan,38,Divorced,Self-Employed,2090000,Bachelor's,800000,Commercial and industrial loan,Yes,513,0.47,1,1,24,11.35,10,400000,Very Low
Hakob Markosyan,40,Married,Self-Employed,2350000,Master's,3350000,Consumer loan,No,507,0.21,3,1,36,17.65,5,3250000,Very Low
Vahagn Ghazaryan,60,Divorced,Self-Employed,2690000,Bachelor's,3250000,Consumer loan,No,401,0.56,3,4,24,12.78,10,4550000,Low
Gor Avetisyan,33,Widowed,Employed,710000,Bachelor's,650000,Consumer loan,No,309,0.43,1,0,24,13.4,0,450000,Very Low
Aram Ghazaryan,64,Married,Employed,690000,Bachelor's,3200000,Leasing finance,No,772,0.53,1,3,60,13.15,35,1300000,Low
David Avetisyan,32,Married,Employed,1890000,Master's,3050000,Mortgage loan,Yes,422,0.29,1,0,36,11.34,14,4500000,Very Low
Hovhannes Markosyan,42,Married,Employed,1970000,High School,1600000,Loan granted to financial institutions,Yes,303,0.59,2,4,36,19.33,10,1400000,Low
Narine Melkonyan,53,Widowed,Employed,2250000,Bachelor's,600000,Leasing finance,Yes,766,0.44,3,1,24,17.86,12,3250000,High
Elina Gevorgyan,28,Divorced,Employed,2570000,High School,4750000,Consumer loan,Yes,558,0.28,2,1,36,11.76,7,2650000,Very Low
Armine Sargsyan,68,Single,Employed,1650000,Master's,2050000,Leasing finance,Yes,586,0.21,3,2,48,10.17,47,2950000,Low
Tatev Sargsyan,32,Married,Employed,1790000,Master's,3300000,Mortgage loan,Yes,330,0.53,3,1,24,13.1,12,2050000,Low
Hasmik Avetisyan,21,Divorced,Unemployed,0,High School,400000,Commercial and industrial loan,Yes,820,0.26,4,3,36,13.57,1,1450000,Low
Armine Nazaryan,38,Widowed,Self-Employed,250000,PhD,2950000,Agricultural loan,Yes,423,0.12,4,4,24,9.08,19,200000,Low
Edgar Avagyan,30,Widowed,Self-Employed,170000,High School,1250000,Loan granted to individuals,No,429,0.24,3,1,36,18.76,5,3700000,Very Low
Vahagn Sargsyan,39,Divorced,Self-Employed,1190000,Master's,250000,Agricultural loan,No,815,0.19,4,1,60,18.36,16,3700000,Very High
Hasmik Petrosyan,36,Married,Employed,2410000,Master's,2250000,Consumer loan,Yes,779,0.26,3,3,24,18.35,2,3350000,Low
Artur Hakobyan,51,Married,Self-Employed,2190000,Master's,100000,Mortgage loan,Yes,841,0.41,3,1,12,17.86,0,3200000,Very Low
Anush Mkrtchyan,31,Married,Self-Employed,750000,High School,2100000,Commercial and industrial loan,No,376,0.35,1,3,36,17.06,11,1200000,Low
Ruben Karapetyan,21,Single,Employed,870000,PhD,1900000,Agricultural loan,Yes,482,0.46,4,1,36,15.98,1,100000,Very Low
Trdat Hakobyan,65,Married,Retired,63500,PhD,150000,Commercial and industrial loan,Yes,665,0.27,2,3,36,19.56,12,4000000,Low
Ruben Avagyan,69,Single,Employed,2490000,Master's,2300000,Commercial and industrial loan,No,591,0.16,2,1,48,16.83,26,2450000,Low
Gor Harutyunyan,63,Single,Employed,2930000,Bachelor's,1100000,Consumer loan,Yes,688,0.18,4,4,12,15.93,2,1500000,Medium
Anush Poghosyan,44,Widowed,Employed,1230000,High School,1650000,Loan granted to financial institutions,No,456,0.5,3,2,36,17.68,19,500000,Very Low
Sargis Karapetyan,46,Divorced,Employed,2350000,Master's,1600000,Mortgage loan,Yes,399,0.15,2,2,24,11.71,27,300000,Very Low
Ruzanna Ghazaryan,64,Widowed,Self-Employed,630000,Bachelor's,850000,Leasing finance,No,409,0.5,4,0,24,19.64,5,1700000,Very Low
Samvel Hakobyan,45,Divorced,Employed,490000,Master's,4100000,Agricultural loan,Yes,569,0.21,2,2,36,9.21,13,4000000,Very Low
Aram Avetisyan,52,Married,Employed,2830000,Bachelor's,2800000,Mortgage loan,Yes,437,0.44,1,3,36,16.13,8,4550000,Low
Narek Mkrtchyan,25,Divorced,Self-Employed,1710000,Master's,150000,Loan granted to individuals,Yes,363,0.41,3,3,12,9.85,5,4450000,Low
Hovhannes Avetisyan,33,Single,Employed,730000,High School,3500000,Commercial and industrial loan,Yes,806,0.15,1,2,24,18.39,12,4600000,Very High
Narine Hakobyan,59,Divorced,Self-Employed,2790000,High School,2450000,Loan granted to financial institutions,Yes,649,0.43,2,3,48,19.64,32,4500000,Low
Vardan Avagyan,53,Single,Employed,250000,High School,2750000,Agricultural loan,Yes,446,0.32,3,4,36,13.49,3,2600000,Low
Vahagn Hakobyan,47,Widowed,Self-Employed,1090000,High School,3850000,Leasing finance,Yes,634,0.45,3,3,24,18.43,12,1050000,Low
Elina Nazaryan,35,Single,Employed,2210000,Master's,1550000,Loan granted to individuals,No,831,0.52,3,4,24,12.69,5,3950000,Low
Levon Hovhannisyan,19,Single,Employed,2770000,Master's,4050000,Loan granted to financial institutions,Yes,706,0.12,4,4,48,10.75,0,1050000,Medium
Artur Harutyunyan,66,Widowed,Retired,42000,Master's,1050000,Agricultural loan,Yes,643,0.42,4,4,12,12.04,45,1300000,Low
Armine Avetisyan,30,Married,Self-Employed,2250000,Master's,800000,Commercial and industrial loan,No,820,0.15,3,1,36,12.32,8,1150000,Very High
Lusine Petrosyan,21,Divorced,Self-Employed,650000,Master's,850000,Mortgage loan,Yes,435,0.29,3,0,36,15.94,0,2550000,Very Low
Edgar Mkrtchyan,43,Divorced,Employed,530000,Bachelor's,4800000,Leasing finance,Yes,338,0.11,3,3,60,17.76,9,1600000,Low
Vahagn Avagyan,42,Widowed,Self-Employed,2410000,Bachelor's,50000,Commercial and industrial loan,Yes,619,0.26,1,1,48,11.26,16,750000,Low
Arman Gevorgyan,47,Widowed,Employed,2290000,Bachelor's,3600000,Loan granted to individuals,Yes,586,0.18,1,0,48,9.97,18,2250000,Low
Elina Melkonyan,28,Widowed,Unemployed,0,Master's,3250000,Consumer loan,Yes,762,0.38,2,1,36,11.44,0,4350000,Very Low
Vahan Melkonyan,24,Married,Self-Employed,1430000,Bachelor's,3300000,Agricultural loan,Yes,651,0.36,3,3,48,12.26,5,2850000,Low
Narine Vardanyan,48,Widowed,Employed,2750000,High School,1850000,Mortgage loan,No,304,0.5,3,4,48,12.08,19,4350000,Low
Narek Harutyunyan,61,Divorced,Employed,2190000,Master's,1200000,Commercial and industrial loan,No,535,0.42,1,1,36,11.42,38,950000,Very Low
Sona Harutyunyan,27,Divorced,Self-Employed,990000,PhD,4550000,Commercial and industrial loan,No,535,0.46,2,0,60,14.13,8,800000,Very Low
Karine Mkrtchyan,56,Married,Self-Employed,630000,Master's,4200000,Agricultural loan,No,800,0.15,2,0,60,18.42,11,2850000,Very High
Ani Hakobyan,30,Divorced,Self-Employed,1830000,Master's,3100000,Agricultural loan,Yes,404,0.11,3,0,36,10.1,3,2300000,Very Low
Lilit Nazaryan,48,Widowed,Self-Employed,2350000,Master's,1050000,Agricultural loan,Yes,506,0.58,4,1,60,18.48,21,3300000,Low
Ara Sargsyan,24,Widowed,Employed,1850000,Bachelor's,1850000,Agricultural loan,No,538,0.31,2,0,36,14.47,4,3950000,Very Low
Trdat Gevorgyan,66,Single,Self-Employed,390000,Master's,1750000,Leasing finance,Yes,351,0.3,2,2,36,16.27,30,3750000,Very Low
Ruzanna Mkrtchyan,59,Married,Employed,590000,Master's,1900000,Commercial and industrial loan,No,407,0.12,3,0,36,17.97,33,4700000,Very Low
Vahan Harutyunyan,59,Single,Self-Employed,1390000,Bachelor's,2650000,Loan granted to individuals,No,656,0.16,3,0,24,12.35,22,1950000,Low
Gayane Harutyunyan,53,Widowed,Employed,2110000,Bachelor's,750000,Agricultural loan,Yes,332,0.57,3,1,60,19.5,18,1000000,Low
Hayk Gevorgyan,37,Divorced,Employed,1790000,Bachelor's,2100000,Agricultural loan,Yes,321,0.45,1,3,48,9.92,16,2750000,Low
Hasmik Vardanyan,21,Single,Employed,430000,Bachelor's,4700000,Agricultural loan,Yes,606,0.3,3,1,36,14.8,1,550000,Low
Liana Ghazaryan,24,Married,Employed,2470000,PhD,200000,Loan granted to financial institutions,Yes,310,0.55,4,1,48,11.8,1,1400000,Low
Arpi Poghosyan,18,Single,Employed,650000,Bachelor's,1950000,Mortgage loan,Yes,741,0.39,4,2,48,13.49,0,1000000,High
Areg Markosyan,61,Single,Self-Employed,2190000,Bachelor's,3950000,Agricultural loan,No,497,0.47,2,3,24,13.94,37,1950000,Low
Edgar Markosyan,62,Widowed,Self-Employed,1750000,PhD,1150000,Loan granted to individuals,Yes,828,0.32,1,1,24,19.06,38,550000,Very Low
Samvel Sargsyan,59,Divorced,Employed,2010000,Master's,750000,Leasing finance,Yes,343,0.32,2,2,60,13.86,36,150000,Very Low
Arsen Hovhannisyan,64,Single,Self-Employed,1350000,Master's,4500000,Agricultural loan,No,484,0.13,1,1,60,16.68,11,3250000,Very Low
Anahit Sargsyan,30,Divorced,Unemployed,0,PhD,600000,Consumer loan,Yes,688,0.47,3,2,60,19.47,11,3050000,Very Low
Gayane Vardanyan,39,Married,Employed,810000,Bachelor's,4100000,Leasing finance,No,806,0.15,2,4,12,14.44,10,3500000,Low
Ruben Melkonyan,38,Widowed,Employed,2910000,Master's,3500000,Consumer loan,No,741,0.48,4,0,36,13.49,9,3300000,High
Ashot Nazaryan,39,Single,Self-Employed,1670000,High School,4100000,Consumer loan,Yes,795,0.2,1,0,48,19.7,16,550000,High
Lusine Gevorgyan,45,Single,Self-Employed,810000,Bachelor's,2700000,Commercial and industrial loan,Yes,804,0.22,2,1,36,18.1,20,1450000,Very High
Arpi Gevorgyan,26,Single,Employed,2490000,Bachelor's,4400000,Commercial and industrial loan,Yes,436,0.56,4,2,48,19.34,7,600000,Low
Anahit Melkonyan,43,Divorced,Unemployed,0,Bachelor's,1900000,Loan granted to financial institutions,No,578,0.34,4,4,24,13.37,9,4200000,Low
Nune Avetisyan,26,Divorced,Employed,1450000,PhD,1400000,Leasing finance,No,463,0.16,3,0,12,16.66,1,3700000,Very Low
Aram Sargsyan,32,Divorced,Employed,2790000,PhD,3950000,Commercial and industrial loan,Yes,842,0.55,1,1,12,11.75,7,1000000,Low
Narek Melkonyan,27,Single,Employed,1630000,PhD,950000,Loan granted to individuals,Yes,322,0.33,2,1,36,18.52,5,1700000,Very Low
Ani Gevorgyan,41,Single,Employed,1450000,Bachelor's,3450000,Commercial and industrial loan,No,806,0.17,4,2,36,19.26,0,4800000,Very High
Anahit Ghazaryan,59,Married,Unemployed,0,PhD,3200000,Loan granted to individuals,Yes,809,0.3,1,3,60,11.95,9,2950000,Low
Hasmik Melkonyan,25,Divorced,Self-Employed,2170000,Master's,200000,Loan granted to individuals,Yes,743,0.39,3,1,12,10.15,0,4000000,High
David Hovhannisyan,41,Married,Employed,610000,Bachelor's,4050000,Agricultural loan,Yes,441,0.28,1,4,36,11.21,10,1300000,Low
Mari Gevorgyan,33,Divorced,Employed,1650000,Master's,500000,Leasing finance,Yes,580,0.56,1,4,60,15.96,15,1050000,Low
Karine Hakobyan,66,Widowed,Employed,1730000,High School,600000,Consumer loan,Yes,506,0.23,2,3,36,11.99,7,3900000,Low
Hayk Hovhannisyan,43,Widowed,Self-Employed,2230000,High School,3450000,Consumer loan,Yes,601,0.19,1,4,24,16.02,14,3400000,Low
Arsen Ghazaryan,44,Single,Self-Employed,470000,Master's,350000,Leasing finance,No,696,0.21,3,2,24,12.85,20,3400000,Medium
Ani Karapetyan,54,Single,Self-Employed,730000,Master's,2200000,Loan granted to financial institutions,Yes,617,0.14,4,1,48,19.09,3,2750000,Low
Lusine Vardanyan,21,Married,Employed,970000,Bachelor's,1150000,Consumer loan,Yes,347,0.33,2,2,12,13.98,3,2800000,Very Low
Ruzanna Sargsyan,67,Divorced,Self-Employed,570000,Master's,100000,Mortgage loan,Yes,689,0.54,4,3,60,14.47,27,3650000,Low
Sargis Avagyan,41,Widowed,Employed,750000,PhD,4700000,Consumer loan,Yes,678,0.25,1,3,36,12.83,16,1350000,Medium
Ani Nazaryan,36,Married,Employed,1150000,Master's,1850000,Mortgage loan,Yes,516,0.23,3,2,48,9.8,17,1750000,Very Low
Armine Markosyan,53,Single,Employed,1890000,Bachelor's,3450000,Loan granted to individuals,Yes,550,0.52,4,0,36,14.43,4,4350000,Low
Anush Gevorgyan,56,Widowed,Employed,2950000,High School,1000000,Leasing finance,No,733,0.25,3,3,60,17.52,7,1500000,Medium
Arman Avetisyan,27,Widowed,Self-Employed,1910000,Bachelor's,4500000,Commercial and industrial loan,No,583,0.34,1,1,36,19.48,4,2700000,Low
Gevorg Hakobyan,42,Married,Self-Employed,2610000,PhD,2200000,Agricultural loan,No,782,0.12,1,3,48,9.84,4,3500000,Low
Hasmik Nazaryan,35,Divorced,Employed,2130000,Bachelor's,3500000,Commercial and industrial loan,Yes,566,0.24,4,2,60,17.77,2,4950000,Very Low
Gor Avagyan,36,Married,Employed,2970000,Bachelor's,4650000,Loan granted to individuals,No,545,0.17,2,2,60,11.94,15,2150000,Very Low
Elina Hakobyan,53,Married,Employed,2470000,Bachelor's,3700000,Mortgage loan,Yes,457,0.15,3,4,12,18.05,1,2100000,Low
